A,B,C,D,E,F,G,H
1,1.884,0.30000000000000004,1.4000000000000001,0.5845,0.3425,0.265,1.346
0,1.6171000000000002,0.20000000000000007,1.25,0.6275,0.341,0.28450000000000003,1.1600000000000001
0,1.3973,0.14,1.25,0.4075,0.2495,0.229,0.5539999999999999
0,1.413,0.09999999999999998,1.3,0.38,0.174,0.23700000000000002,0.41000000000000003
0,0.8478000000000001,-0.20999999999999996,0.7000000000000001,0.20299999999999999,0.0465,0.20600000000000002,-0.18400000000000005
1,2.2294,0.5299999999999999,1.9500000000000002,1.01325,0.638,0.3121666666666667,2.9899999999999998
0,1.8683,0.33999999999999997,1.6500000000000001,0.7040000000000001,0.4915,0.2775,1.6070000000000002
1,1.8212,0.32000000000000006,1.2,0.64675,0.4625,0.2795,1.2800000000000002
0,1.3816000000000002,0.10999999999999999,1.25,0.38875,0.132,0.22716666666666668,0.7400000000000001
0,1.9782000000000002,0.37,1.7999999999999998,0.77175,0.5175,0.3026666666666667,1.8199999999999998
0,1.9311,0.39,1.55,0.79325,0.435,0.2976666666666667,1.5470000000000002
0,2.3236,0.59,1.9,1.31175,1.1495,0.3705,2.6300000000000003
2,0.8164,-0.16999999999999998,0.8,0.1995,0.037,0.20850000000000002,-0.13
2,1.6485,0.18000000000000005,1.05,0.4335,0.2875,0.23583333333333334,0.5599999999999999
1,1.8212,0.28,1.7999999999999998,0.577,0.3665,0.2545,1.0699999999999998
0,1.3031,0.030000000000000027,1.1500000000000001,0.34475,0.2015,0.22166666666666668,0.21799999999999997
1,2.1195000000000004,0.45000000000000007,1.7000000000000002,1.05475,0.784,0.33033333333333337,2.33
1,2.1038,0.45000000000000007,1.9500000000000002,0.8350000000000001,0.6065,0.2985,2.042
2,0.8321000000000001,-0.20999999999999996,0.6,0.196,0.0345,0.20833333333333334,-0.253
1,2.0881000000000003,0.4800000000000001,1.9500000000000002,1.032,0.8505,0.3205,2.42
1,1.9311,0.44000000000000006,1.5,0.82175,0.629,0.28683333333333333,1.67
1,1.6485,0.21999999999999997,1.35,0.54525,0.4065,0.266,0.6619999999999998
1,1.6014000000000002,0.20000000000000007,1.25,0.4225,0.261,0.23833333333333334,0.43100000000000005
0,1.8369,0.31000000000000005,1.55,0.7165,0.5515,0.2743333333333333,1.4300000000000002
1,2.0410000000000004,0.42000000000000004,1.7000000000000002,0.9335,0.7245,0.31633333333333336,1.9460000000000002
1,1.9154,0.37,1.7999999999999998,0.7897500000000001,0.5735,0.2951666666666667,1.73
0,1.7897999999999998,0.31000000000000005,1.5,0.626,0.3895,0.27183333333333337,1.2470000000000003
0,1.7270000000000003,0.21999999999999997,1.5,0.5425,0.282,0.262,1.25
1,2.1823,0.4700000000000001,1.75,0.8305,0.5465,0.29383333333333334,2.39
0,1.6799000000000002,0.24,1.6,0.52325,0.348,0.2505,0.9109999999999999
